Izsaukuma laiks,"Pacienta vecums, gadi","Dzimums, 1 - sieviete, 2- vīrietis",Unnamed: 3,NMP pamata diagnoze: G45.9 -1; I64 - 2; I63.9 - 3  ,Nogādāšanas laiks PSKUS,"GKS skala, 1 - nav izvērtēts","FastTest skala: N Negatīvs - 1; P>60 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ≥ 60% - 2; P<15 Pozitīvs, lielo asinsvadu oklūzijas iespējamība <15% - 3; P>30 Pozitīvs, lielo asinsvadu oklūzijas iespējamība ap 30% - 4; nav izvērtēts - 5",Uzņemšanas rezultāts,Pārvests uz,Karte,Personas kods,Iestāšanās diagnoze,Iestāšanās diagnozes nosaukums,Izrakstīšanas diagnoze,Izrakstīšanas diagnozes nosaukums,Iestāšanās laiks,Izrakstīšanas laiks,Izr_dat,Izr_mēn,Izr_gads,Izr_kustība,Izr_kustības nosaukums,Izr_nodaļa,Izr_nodaļas nosaukums,Izr_profils,Izr_profila nosaukums,Pacienta uzvārds
11.06.2024 03:18,69,1,,2,2024-06-11 04:02:00,3,2,Hospitalized,Neurology,K202400001,260523-10851,I64,"Stroke, not specified as hemorrhage or infarction",J18.9,"Pneumonia, unspecified organism",2024-06-11 04:39:00,2024-06-12 01:39:00,12,6,2024,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Romanovs
2025-06-10 16:03:00,70,1,,1,2025-06-10 17:19:00,15,5,Hospitalized,Neurology,K202500002,031155-89840,G45.9,"Transient cerebral ischemic attack, unspecified",G45.9,"Transient cerebral ischemic attack, unspecified",2025-06-10 17:40:00,18.06.2025 19:40,18,6,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Ozoliņa
2025-12-28 01:23:00,80,2,,1,2025-12-28 02:16:00,12,3,Hospitalized,Neurology,K202500003,050245-92240,G45.9,"Transient cerebral ischemic attack, unspecified",K35.8,"Acute appendicitis, other and unspecified",2025-12-28 02:34:00,05/01/2026 03:34,5,1,2026,1,Discharged home,404,Admission ward,99,Internal medicine,Ozols
18.01.2025 14:06,91,1,,3,18.01.2025 14:51,8,4,Hospitalized,,K202500004,040134-57576,I63.9,"Cerebral infarction, unspecified",I64,"Stroke, not specified as hemorrhage or infarction",2025-01-18 15:34:00,2025-01-30 11:34:00,30,1,2025,4,Continues treatment,404,Admission ward,10,Neurology,Avotiņš
19/10/2024 22:44,68,2,,3,2024-10-20 01:48:00,10,3,Hospitalized,Stroke unit,K202400005,080156-18834,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,20.10.2024 02:14,01.11.2024 23:14,1,11,2024,2,Transferred to another hospital,202,Stroke unit,10,Neurology,Bērziņa
23/05/2024 07:57,68,2,,3,2024-05-23 08:42:00,6,3,outpatient,,K202400006,181156-11934,I63.9,"Cerebral infarction, unspecified",S72.0,Fracture of neck of femur,23.05.2024 09:00,2024-05-25 07:00:00,25,5,2024,1,Discharged home,303,ICU,20,Intensīvā terapija,Ozols
2024-03-26 04:08:00,92,1,,3,2024-03-26 04:40:00,11,3,Hospitalized,Neurology,K202400007,081032-85880,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2024-03-26 04:46:00,2024-03-30 11:46:00,30,3,2024,1,Discharged home,101,Neurology ward,10,Neurology,Krūmiņa
06/11/2024 10:16,81,1,?,3,2024-11-06 10:51:00,9,1,Hospitalized,Another hospital,K202400008,090343-25129,I63.9,"Cerebral infarction, unspecified",I63.9,"Cerebral infarction, unspecified",06/11/2024 11:09,2024-11-20 17:09:00,20,11,2024,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Krūmiņa
2025-10-05 11:16:00,65,2,,3,05.10.2025 12:02,15,4,Hospitalized,Stroke unit,K202500009,120160-37535,I63.9,"Cerebral infarction, unspecified",G51.0,Bell's palsy,05.10.2025 12:09,2025-10-17 14:09:00,17,10,2025,1,Discharged home,101,Neurology ward,30,Internal medicine,Balode
2024-12-27 10:04:00,79,1,,2,2024-12-27 10:31:00,1,4,Hospitalized,Home,K202400010,250245-46585,I64,"Stroke, not specified as hemorrhage or infarction",I21.9,"Acute myocardial infarction, unspecified",2024-12-27 11:04:00,01.01.2025 15:04,1,1,2025,1,Discharged home,202,Stroke unit,30,Internal medicine,Vītola
2024-01-03 11:06:00,65,1,,2,2024-01-03 11:41:00,14,3,Hospitalized,Another hospital,K202400011,070359-65108,I64,"Stroke, not specified as hemorrhage or infarction",G40.9,"Epilepsy, unspecified",2024-01-03 12:26:00,2024-01-14 15:26:00,14,1,2024,1,Discharged home,202,Stroke unit,30,Internal medicine,Pavlovs
2025-02-17 07:03:00,65,2,,1,17.02.2025 08:21,7,1,Hospitalized,Neurology,K202500012,131260-74799,G45.9,"Transient cerebral ischemic attack, unspecified",G40.9,"Epilepsy, unspecified",2025-02-17 08:43:00,2025-02-19 05:43:00,19,2,2025,1,Discharged home,303,ICU,20,Intensīvā terapija,Kalniņa
06.10.2025 13:03,75,2,,3,2025-10-06 15:41:00,14,4,Hospitalized,Stroke unit,K202500013,150550-20155,I63.9,"Cerebral infarction, unspecified",I21.9,"Acute myocardial infarction, unspecified",2025-10-06 16:12:00,2025-10-20 14:12:00,20,10,2025,1,Discharged home,303,ICU,99,Intensīvā terapija,Vītols
2024-01-09 14:04:00,47,2,,3,2024-01-09 16:09:00,12,3,Hospitalized,Stroke unit,K202400014,050877-91560,I63.9,"Cerebral infarction, unspecified",I61.9,"Intracerebral hemorrhage, unspecified",2024-01-09 16:46:00,2024-01-19 07:46:00,19,1,2024,2,Transferred to another hospital,202,Stroke unit,30,Internal medicine,Kļaviņa
2024-03-16 20:31:00,49,2,,2,16/03/2024 21:06,1,5,Transferred,Neurology,K202400015,060675-89415,I64,"Stroke, not specified as hemorrhage or infarction",E11.9,Type 2 diabetes mellitus without complications,16/03/2024 21:50,2024-03-22 07:50:00,22,3,2024,1,Discharged home,202,Stroke unit,10,Neurology,Krūmiņš
29/02/2024 19:28,64,2,,3,2024-02-29 20:03:00,12,1,Hospitalized,Neurology,K202400016,240360-78386,I63.9,"Cerebral infarction, unspecified",N39.0,"Urinary tract infection, site not specified",2024-02-29 20:38:00,08/03/2024 21:38,8,3,2024,2,Transferred to another hospital,202 ,ICU,20,Intensīvā terapija,Siliņš
2025-01-11 06:04:00,58,2,,3,2025-01-11 08:34:00,3,4,Outpatient,ICU,K202500017,230767-41890,I63.9,"Cerebral infarction, unspecified",E11.9,Type 2 diabetes mellitus without complications,2025-01-11 08:49:00,2025-01-25 10:49:00,25,1,2025,4,Continues treatment,202,Stroke unit,10,Neurology,Vītols
2025-02-16 03:31:00,76,1,,2,16.02.2025 05:21,8,4,Hospitalized,Stroke unit,K202500018,101049-71524,I64,"Stroke, not specified as hemorrhage or infarction",G51.0,Bell's palsy,2025-02-16 05:35:00,22.02.2025 18:35,22,2,2025,4,Continues treatment,101,Neurology ward,30,Internal medicine,Bērziņš
